id	genes
R04780	k249_397260_4
R04658	(k249_405843_3) or (k249_1434416_5)
R05074	(k249_405843_3) or (k249_1434416_5)
R09763	(k249_405843_3) or (k249_1434416_5)
R00260	k249_405843_5
R11706	(k249_417112_1) or (k249_754248_6)
R11707	(k249_417112_1) or (k249_754248_6)
R02262	k249_417112_2
R01394	k249_417112_3
R01528	k249_417112_4
R10221	k249_417112_4
R01737	k249_417112_5
R09733	k249_424548_2
R01248	(k249_425222_38) or (k249_1279592_5)
R01251	(k249_425222_38) or (k249_1279592_5)
R03291	(k249_425222_38) or (k249_1279592_5)
R03293	(k249_425222_38) or (k249_1279592_5)
R09735	k249_426359_8
R01061	(k249_426359_9) or (k249_744826_12)
R01540	(k249_440146_1) or (k249_653278_7)
R10764	k249_440146_3
R10689	k249_440146_4
R01466	k249_441004_10
R05086	k249_441004_10
R05637	(k249_441004_13) or (k249_1399648_9) or (k249_1399648_10)
R06514	k249_445190_6
R00617	k249_446308_3
R01049	k249_464838_2
R01221	(k249_465104_5) or (k249_696185_13) or (k249_696185_14) or (k249_696185_15) or (k249_955711_30) or (k249_1041617_4) or (k249_2416230_1)
R01698	(k249_465104_5) or (k249_955711_30) or (k249_1041617_4) or (k249_2416230_1)
R08549	(k249_465104_5) or (k249_955711_30) or (k249_1041617_4) or (k249_1041617_5) or (k249_1041617_6) or (k249_2416230_1) or (k249_2416230_4)
R09838	(k249_518594_3) or (k249_702968_16)
R00124	k249_518594_5
R00139	k249_518594_5
R00156	k249_518594_5
R00330	k249_518594_5
R00570	k249_518594_5
R00722	k249_518594_5
R01137	k249_518594_5
R01857	k249_518594_5
R02093	k249_518594_5
R02326	k249_518594_5
R02331	k249_518594_5
R03530	k249_518594_5
R11894	k249_518594_5
R11895	k249_518594_5
R00131	(k249_523785_1) or (k249_523785_2) or (k249_523785_3)
R00513	k249_531167_9
R00516	k249_531167_9
R00517	k249_531167_9
R00962	k249_531167_9
R00964	k249_531167_9
R00967	k249_531167_9
R00968	k249_531167_9
R00970	k249_531167_9
R01548	k249_531167_9
R01549	k249_531167_9
R01880	k249_531167_9
R02091	k249_531167_9
R02096	k249_531167_9
R02097	k249_531167_9
R02327	k249_531167_9
R02332	k249_531167_9
R02371	k249_531167_9
R02372	k249_531167_9
R08232	k249_531167_9
R01015	(k249_531167_10) or (k249_1822632_4)
R01512	k249_531167_10
R01068	(k249_531167_11) or (k249_1131129_2)
R01070	(k249_531167_11) or (k249_1131129_2)
R01829	(k249_531167_11) or (k249_1131129_2)
R02568	(k249_531167_11) or (k249_1131129_2)
R01287	k249_531167_20
R00310	k249_531167_24
R11329	k249_531167_24
R00188	(k249_531167_28) or (k249_2771598_4)
R00508	k249_531167_28
R00529	(k249_531167_28) or (k249_696185_11) or (k249_888932_4) or (k249_888932_5)
R01185	(k249_531167_28) or (k249_702968_2)
R01186	(k249_531167_28) or (k249_702968_2)
